NAME,GEO_ID,pop_est,pop_est_me,state,year
Alabama,0400000US01,4799277,-555555555,01,2013
Alaska,0400000US02,720316,-555555555,02,2013
Arizona,0400000US04,6479703,-555555555,04,2013
Arkansas,0400000US05,2933369,-555555555,05,2013
California,0400000US06,37659181,-555555555,06,2013
Colorado,0400000US08,5119329,-555555555,08,2013
Delaware,0400000US10,908446,-555555555,10,2013
District of Columbia,0400000US11,619371,-555555555,11,2013
Connecticut,0400000US09,3583561,-555555555,09,2013
Florida,0400000US12,19091156,-555555555,12,2013
Georgia,0400000US13,9810417,-555555555,13,2013
Idaho,0400000US16,1583364,-555555555,16,2013
Hawaii,0400000US15,1376298,-555555555,15,2013
Illinois,0400000US17,12848554,-555555555,17,2013
Indiana,0400000US18,6514861,-555555555,18,2013
Iowa,0400000US19,3062553,-555555555,19,2013
Kansas,0400000US20,2868107,-555555555,20,2013
Kentucky,0400000US21,4361333,-555555555,21,2013
Louisiana,0400000US22,4567968,-555555555,22,2013
Maine,0400000US23,1328320,-555555555,23,2013
Maryland,0400000US24,5834299,-555555555,24,2013
Massachusetts,0400000US25,6605058,-555555555,25,2013
Michigan,0400000US26,9886095,-555555555,26,2013
Minnesota,0400000US27,5347740,-555555555,27,2013
Mississippi,0400000US28,2976872,-555555555,28,2013
Missouri,0400000US29,6007182,-555555555,29,2013
Montana,0400000US30,998554,-555555555,30,2013
Nebraska,0400000US31,1841625,-555555555,31,2013
Nevada,0400000US32,2730066,-555555555,32,2013
New Hampshire,0400000US33,1319171,-555555555,33,2013
New Jersey,0400000US34,8832406,-555555555,34,2013
New Mexico,0400000US35,2069706,-555555555,35,2013
New York,0400000US36,19487053,-555555555,36,2013
North Carolina,0400000US37,9651380,-555555555,37,2013
North Dakota,0400000US38,689781,-555555555,38,2013
Ohio,0400000US39,11549590,-555555555,39,2013
Oklahoma,0400000US40,3785742,-555555555,40,2013
Oregon,0400000US41,3868721,-555555555,41,2013
Pennsylvania,0400000US42,12731381,-555555555,42,2013
Rhode Island,0400000US44,1051695,-555555555,44,2013
South Carolina,0400000US45,4679602,-555555555,45,2013
South Dakota,0400000US46,825198,-555555555,46,2013
Tennessee,0400000US47,6402387,-555555555,47,2013
Texas,0400000US48,25639373,-555555555,48,2013
Vermont,0400000US50,625904,-555555555,50,2013
Utah,0400000US49,2813673,-555555555,49,2013
Virginia,0400000US51,8100653,-555555555,51,2013
Washington,0400000US53,6819579,-555555555,53,2013
West Virginia,0400000US54,1853619,-555555555,54,2013
Wisconsin,0400000US55,5706871,-555555555,55,2013
Wyoming,0400000US56,570134,-555555555,56,2013
Puerto Rico,0400000US72,3682966,-555555555,72,2013
Alabama,0400000US01,4817678,-555555555,01,2014
Alaska,0400000US02,728300,-555555555,02,2014
Arizona,0400000US04,6561516,-555555555,04,2014
Arkansas,0400000US05,2947036,-555555555,05,2014
California,0400000US06,38066920,-555555555,06,2014
Colorado,0400000US08,5197580,-555555555,08,2014
Delaware,0400000US10,917060,-555555555,10,2014
District of Columbia,0400000US11,633736,-555555555,11,2014
Connecticut,0400000US09,3592053,-555555555,09,2014
Florida,0400000US12,19361792,-555555555,12,2014
Georgia,0400000US13,9907756,-555555555,13,2014
Idaho,0400000US16,1599464,-555555555,16,2014
Hawaii,0400000US15,1392704,-555555555,15,2014
Illinois,0400000US17,12868747,-555555555,17,2014
Indiana,0400000US18,6542411,-555555555,18,2014
Iowa,0400000US19,3078116,-555555555,19,2014
Kansas,0400000US20,2882946,-555555555,20,2014
Kentucky,0400000US21,4383272,-555555555,21,2014
Louisiana,0400000US22,4601049,-555555555,22,2014
Maine,0400000US23,1328535,-555555555,23,2014
Maryland,0400000US24,5887776,-555555555,24,2014
Massachusetts,0400000US25,6657291,-555555555,25,2014
Michigan,0400000US26,9889024,-555555555,26,2014
Minnesota,0400000US27,5383661,-555555555,27,2014
Mississippi,0400000US28,2984345,-555555555,28,2014
Missouri,0400000US29,6028076,-555555555,29,2014
Montana,0400000US30,1006370,-555555555,30,2014
Nebraska,0400000US31,1855617,-555555555,31,2014
Nevada,0400000US32,2761584,-555555555,32,2014
New Hampshire,0400000US33,1321069,-555555555,33,2014
New Jersey,0400000US34,8874374,-555555555,34,2014
New Mexico,0400000US35,2080085,-555555555,35,2014
New York,0400000US36,19594330,-555555555,36,2014
North Carolina,0400000US37,9750405,-555555555,37,2014
North Dakota,0400000US38,704925,-555555555,38,2014
Ohio,0400000US39,11560380,-555555555,39,2014
Oklahoma,0400000US40,3818851,-555555555,40,2014
Oregon,0400000US41,3900343,-555555555,41,2014
Pennsylvania,0400000US42,12758729,-555555555,42,2014
Rhode Island,0400000US44,1053252,-555555555,44,2014
South Carolina,0400000US45,4727273,-555555555,45,2014
South Dakota,0400000US46,834708,-555555555,46,2014
Tennessee,0400000US47,6451365,-555555555,47,2014
Texas,0400000US48,26092033,-555555555,48,2014
Vermont,0400000US50,626358,-555555555,50,2014
Utah,0400000US49,2858111,-555555555,49,2014
Virginia,0400000US51,8185131,-555555555,51,2014
Washington,0400000US53,6899123,-555555555,53,2014
West Virginia,0400000US54,1853881,-555555555,54,2014
Wisconsin,0400000US55,5724692,-555555555,55,2014
