,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
43,Tennessee,0400000US47,4919958,2074,2816637,8548,265312,4057,16524,1090,1821485,8031,47,2010
44,Texas,0400000US48,18380464,3876,11125616,13351,837231,6833,102805,2689,6314812,13674,48,2010
45,Utah,0400000US49,1907903,1025,1236803,3780,76854,2228,6290,570,587956,3625,49,2010
46,Vermont,0400000US50,509527,386,329676,1864,20622,766,655,144,158574,1589,50,2010
47,Virginia,0400000US51,6216349,2080,3824131,8136,241113,3698,122809,2512,2028296,7698,51,2010
48,Washington,0400000US53,5186380,1906,3124821,8306,255923,4090,51469,1443,1754167,6790,53,2010
49,West Virginia,0400000US54,1498611,912,763691,3805,58650,1649,1929,292,674341,3883,54,2010
50,Wisconsin,0400000US55,4458387,1394,2869310,6891,204600,3294,4555,436,1379922,5753,55,2010
51,Wyoming,0400000US56,429389,561,284148,1824,13164,736,3328,406,128749,1700,56,2010
52,Puerto Rico,0400000US72,2931640,1108,1149431,5667,231046,3123,1944,327,1549219,5376,72,2010
1,Alabama,0400000US01,3748844,1681,2027919,7620,215543,3565,16245,832,1489137,6836,01,2011
2,Alaska,0400000US02,536544,580,336026,2127,30932,1121,17791,778,151795,1810,02,2011
3,Arizona,0400000US04,4895581,1902,2739077,8466,268363,4759,19709,877,1868432,8258,04,2011
4,Arkansas,0400000US05,2267563,1264,1252276,5739,114100,2324,6848,626,894339,5277,05,2011
5,California,0400000US06,28796402,4317,16603417,15328,1868871,12606,146361,2354,10177753,17985,06,2011
6,Colorado,0400000US08,3888310,1399,2476167,6831,203279,4108,31286,913,1177578,6101,08,2011
7,Delaware,0400000US10,709757,602,420057,2754,35231,1259,3916,512,250553,2566,10,2011
8,District of Columbia,0400000US11,502503,510,300913,2233,33495,1325,3115,358,164980,2211,11,2011
9,Connecticut,0400000US09,2839677,1193,1764755,4621,163634,3045,8699,483,902589,3903,09,2011
10,Florida,0400000US12,15169949,3134,8258511,15946,948078,8339,58331,2222,5905029,12762,12,2011
11,Georgia,0400000US13,7402545,2294,4288924,10943,469316,5912,55361,1505,2588944,11448,13,2011
12,Idaho,0400000US16,1172324,784,699895,3029,59871,2066,3832,425,408726,3101,16,2011
13,Hawaii,0400000US15,1079024,604,635956,2898,43274,1677,38699,1083,361095,2727,15,2011
14,Illinois,0400000US17,10029404,2171,6043771,9850,622727,5717,21831,910,3341075,8714,17,2011
15,Indiana,0400000US18,5035313,1706,2984502,8001,294244,3890,4927,522,1751640,6974,18,2011
16,Iowa,0400000US19,2392818,1135,1554416,4488,90571,2149,2376,301,745455,3897,19,2011
17,Kansas,0400000US20,2192495,987,1393658,4493,95489,2169,17253,684,686095,3919,20,2011
