,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
34,North Carolina,0400000US37,8233448,2680,4764135,10350,281344,4599,94310,2175,3093659,10233,37,2019
35,North Dakota,0400000US38,598271,557,402322,2139,11406,683,6563,476,177980,1998,38,2019
36,Ohio,0400000US39,9356584,2453,5595444,11683,314483,4294,8544,635,3438113,10107,39,2019
37,Oklahoma,0400000US40,3080177,1023,1772123,5180,94834,1920,18971,750,1194249,4828,40,2019
38,Oregon,0400000US41,3361188,1337,1979043,6663,114559,2435,3090,573,1264496,6469,41,2019
39,Pennsylvania,0400000US42,10442963,2240,6199456,10779,347378,4218,6555,534,3889574,9340,42,2019
40,Rhode Island,0400000US44,876019,724,533878,3084,30455,1492,3593,326,308093,3104,44,2019
41,South Carolina,0400000US45,4044398,1604,2275531,7614,139526,3330,32797,1395,1596544,7388,45,2019
42,South Dakota,0400000US46,679043,712,443891,2385,15736,880,2663,301,216753,2060,46,2019
43,Tennessee,0400000US47,5377153,1904,3109872,9003,172799,3618,18830,906,2075652,7698,47,2019
44,Texas,0400000US48,21736238,4040,13253631,17657,708827,7903,93394,2346,7680386,18115,48,2019
45,Vermont,0400000US50,522206,389,329028,1912,12323,706,581,142,180274,1846,50,2019
46,Utah,0400000US49,2273074,1158,1497354,4401,55539,1701,4322,424,715859,4058,49,2019
47,Virginia,0400000US51,6799060,1966,4156018,8083,200850,2731,120385,2158,2321807,8027,51,2019
48,Washington,0400000US53,5941281,1615,3594279,8501,187330,3650,52871,1316,2106801,7685,53,2019
49,West Virginia,0400000US54,1491316,918,740910,4607,51910,1900,1306,257,697190,4124,54,2019
50,Wisconsin,0400000US55,4659582,1346,2982359,5381,111564,2122,3190,404,1562469,5000,55,2019
51,Wyoming,0400000US56,459282,693,288503,2006,13544,759,2957,335,154278,2028,56,2019
52,Puerto Rico,0400000US72,2759025,1505,1028513,6045,196934,3950,1845,368,1531733,5999,72,2019
1,Arkansas,0400000US05,2388169,1462,1309748,6125,71704,2426,5306,617,1001411,6045,05,2020
2,Washington,0400000US53,6038812,1790,3660034,8364,188562,3378,56400,1744,2133816,8158,53,2020
3,Kansas,0400000US20,2285921,1417,1444074,4633,61359,1876,17916,983,762572,4454,20,2020
4,Oklahoma,0400000US40,3097358,1129,1779157,6719,95441,2299,19275,1010,1203485,6042,40,2020
5,Wisconsin,0400000US55,4682533,1281,2983277,6694,109854,2751,3387,409,1586015,5663,55,2020
6,Mississippi,0400000US28,2357026,1530,1243095,6496,95379,3362,13221,909,1005331,5887,28,2020
7,Missouri,0400000US29,4903578,1548,2932918,7638,138673,2974,18662,1309,1813325,7477,29,2020
8,Michigan,0400000US26,8070619,2089,4658357,10303,298142,4388,4555,504,3109565,9310,26,2020
9,Rhode Island,0400000US44,878121,688,535140,3884,31263,1680,4164,472,307554,3535,44,2020
10,Minnesota,0400000US27,4444556,1256,2957615,5895,117117,2543,3607,535,1366217,5418,27,2020
11,Iowa,0400000US19,2504540,1329,1611524,4809,65738,1809,2178,376,825100,4570,19,2020
12,New Mexico,0400000US35,1672029,1118,889193,4919,62580,2364,11034,832,709222,4331,35,2020
13,Nevada,0400000US32,2419552,1285,1425040,5593,100222,3671,9409,766,884881,4802,32,2020
14,Delaware,0400000US10,787102,664,456872,3867,28334,1839,4119,614,297777,3558,10,2020
15,Puerto Rico,0400000US72,2728839,1160,1026380,6407,182171,3523,2374,455,1517914,6396,72,2020
16,Kentucky,0400000US21,3567512,1833,1993889,7558,113295,3070,14172,591,1446156,6390,21,2020
17,South Dakota,0400000US46,686885,694,447607,2110,16281,1031,2685,316,220312,2096,46,2020
18,Tennessee,0400000US47,5437242,1879,3147330,9016,177361,3809,19227,1152,2093324,7805,47,2020
19,Pennsylvania,0400000US42,10456049,2462,6206839,12987,351248,5767,8039,815,3889923,11624,42,2020
20,California,0400000US06,31403964,4410,18646894,21848,1229079,9993,140982,3260,11387009,19707,06,2020
21,West Virginia,0400000US54,1485332,1077,744272,4563,52031,2040,1905,458,687124,4647,54,2020
22,Utah,0400000US49,2325169,1488,1537623,4673,57829,2294,5010,556,724707,4996,49,2020
23,New York,0400000US36,15908940,3207,9438639,15308,570570,7706,23512,1116,5876219,15715,36,2020
24,District of Columbia,0400000US11,586181,521,382108,2738,29290,1891,2998,364,171785,2430,11,2020
25,Alaska,0400000US02,572684,523,341492,2600,26429,1151,18866,868,185897,2427,02,2020
26,Florida,0400000US12,17486583,3571,9684712,18908,556113,7966,67243,2287,7178515,18198,12,2020
27,South Carolina,0400000US45,4111745,1756,2312831,8614,135484,3460,35787,1772,1627643,8268,45,2020
28,North Dakota,0400000US38,599849,659,401579,2196,12861,969,7296,576,178113,2070,38,2020
29,Maine,0400000US23,1120778,704,675784,3429,28442,1298,1994,383,414558,3258,23,2020
30,Georgia,0400000US13,8296817,3182,4910269,11947,291506,5161,53208,1934,3041834,11640,13,2020
31,Alabama,0400000US01,3926842,1888,2119986,7366,125343,3022,14651,1068,1666862,7202,01,2020
32,New Hampshire,0400000US33,1130008,762,730223,3416,28479,1378,2305,404,369001,3072,33,2020
33,Oregon,0400000US41,3408422,1703,2014487,7246,116297,3197,3651,626,1273987,6980,41,2020
34,Wyoming,0400000US56,461417,686,287375,2514,13222,959,3359,473,157461,2211,56,2020
35,Arizona,0400000US04,5720956,2248,3215843,9058,199358,4365,21281,1093,2284474,8790,04,2020
36,Louisiana,0400000US22,3688107,1629,2023915,9122,142088,3783,19168,1095,1502936,8320,22,2020
37,Indiana,0400000US18,5306367,2223,3219679,10059,159865,3827,3821,485,1923002,9303,18,2020
38,Idaho,0400000US16,1360062,1320,818085,4297,35955,2030,4550,482,501472,3880,16,2020
39,Connecticut,0400000US09,2927839,1506,1807525,5991,116234,2918,9386,654,994694,5895,09,2020
40,Hawaii,0400000US15,1148836,728,674453,3556,32187,1482,43710,1157,398486,3000,15,2020
41,Illinois,0400000US17,10193604,2843,6236755,11868,395142,5932,18136,936,3543571,10748,17,2020
42,Massachusetts,0400000US25,5678025,2017,3615725,7973,193769,3937,5589,680,1862942,7237,25,2020
43,Texas,0400000US48,22078090,4615,13461358,22739,752884,9876,94824,2548,7769024,23000,48,2020
44,Montana,0400000US30,859185,719,520043,2591,22541,1220,3045,364,313556,2734,30,2020
45,Nebraska,0400000US31,1500813,929,999772,3646,35114,1468,5877,487,460050,3218,31,2020
46,Ohio,0400000US39,9385593,2526,5603630,12708,313829,5496,9728,715,3458406,11289,39,2020
47,Colorado,0400000US08,4568027,1544,2937047,6847,142722,3168,35985,1565,1452273,6535,08,2020
48,New Jersey,0400000US34,7161184,2262,4426619,10521,271795,3868,10692,887,2452078,10034,34,2020
49,Maryland,0400000US24,4846076,1594,3076280,6750,167571,3895,32103,1699,1570122,6530,24,2020
50,Virginia,0400000US51,6849454,2535,4179739,11030,202745,3863,126202,2586,2340768,8656,51,2020
51,Vermont,0400000US50,523065,420,328642,2327,12845,853,753,190,180825,2198,50,2020
52,North Carolina,0400000US37,8352255,2418,4833887,12025,278344,5101,98369,2235,3141655,12200,37,2020
1,Alabama,0400000US01,4005499,1780,2173597,8587,124416,3443,15603,1127,1691883,9003,01,2021
2,Alaska,0400000US02,572165,495,338664,2500,25054,1280,20077,931,188370,2102,02,2021
3,Arizona,0400000US04,5650624,2102,3210791,7197,191115,3619,22287,1167,2226431,7444,04,2021
4,Arkansas,0400000US05,2382255,1257,1310863,6350,73733,2564,5777,666,991882,5996,05,2021
5,California,0400000US06,31499704,4287,18676721,21726,1303741,10259,148700,3406,11370542,23055,06,2021
6,Colorado,0400000US08,4606399,1807,2975830,8656,145038,3206,36792,1383,1448739,7918,08,2021
7,Connecticut,0400000US09,2954661,1382,1822995,6801,117631,3336,9381,673,1004654,5885,09,2021
8,Delaware,0400000US10,798798,779,464457,3408,27993,1469,4354,636,301994,3460,10,2021
9,District of Columbia,0400000US11,568405,559,373967,2650,28493,1570,3191,357,162754,2477,11,2021
10,Florida,0400000US12,17577024,3962,9824911,19618,552125,7541,71254,2599,7128734,20443,12,2021
11,Georgia,0400000US13,8385039,3263,4983753,13339,290843,5368,55268,2241,3055175,12861,13,2021
12,Hawaii,0400000US15,1174511,707,680301,3917,37152,1373,47348,1245,409710,3901,15,2021
13,Idaho,0400000US16,1405245,1187,847426,4684,35633,1859,4918,617,517268,4624,16,2021
14,Illinois,0400000US17,10275978,2858,6273473,14871,413041,6328,18670,927,3570794,12424,17,2021
15,Indiana,0400000US18,5343229,2139,3250923,9413,160490,3905,4758,745,1927058,9048,18,2021
16,Iowa,0400000US19,2523649,1319,1620796,5425,65900,2598,2642,458,834311,5291,19,2021
17,Kansas,0400000US20,2299477,1221,1450216,5371,61847,1997,18367,1031,769047,5233,20,2021
18,Kentucky,0400000US21,3588209,1829,2009185,7790,112695,3184,14108,638,1452221,7832,21,2021
19,Louisiana,0400000US22,3679521,1956,2013907,8533,146299,3748,19503,1022,1499812,9499,22,2021
20,Maine,0400000US23,1134793,663,681187,3652,30163,1406,1871,324,421572,3369,23,2021
21,Maryland,0400000US24,4931565,2050,3120977,8768,175507,3582,33795,1588,1601286,8019,24,2021
22,Massachusetts,0400000US25,5773906,1782,3667019,9319,209959,4919,5506,645,1891422,8156,25,2021
23,Michigan,0400000US26,8136493,2044,4692409,10465,310551,5949,4946,518,3128587,9528,26,2021
24,Minnesota,0400000US27,4495952,1624,2980477,6240,125307,2941,4029,622,1386139,6051,27,2021
25,Mississippi,0400000US28,2344417,1377,1240790,6305,91177,3055,13071,835,999379,5897,28,2021
26,Missouri,0400000US29,4910777,1883,2945966,7379,138820,3178,19409,1109,1806582,6863,29,2021
27,Montana,0400000US30,872599,815,526641,3088,22303,1119,3200,307,320455,3021,30,2021
28,Nebraska,0400000US31,1519415,980,1011989,3360,34474,1491,5903,497,467049,2938,31,2021
29,Nevada,0400000US32,2443108,1471,1429447,5211,109512,2680,10638,984,893511,4880,32,2021
30,New Hampshire,0400000US33,1144768,828,738506,3377,28947,1369,2340,541,374975,3146,33,2021
31,New Jersey,0400000US34,7436293,2491,4588902,10426,304973,5726,11161,841,2531257,10132,34,2021
32,New Mexico,0400000US35,1682568,1179,889428,5454,63136,2538,11896,854,718108,4959,35,2021
33,New York,0400000US36,16383427,3165,9663517,17911,642913,8293,25297,1104,6051700,15411,36,2021
34,North Carolina,0400000US37,8336531,3026,4845768,12624,273629,4652,100205,2079,3116929,10948,37,2021
35,North Dakota,0400000US38,607971,603,403612,2379,13152,881,7418,672,183789,2185,38,2021
36,Ohio,0400000US39,9449482,2215,5656463,12836,314406,5727,10776,796,3467837,10557,39,2021
37,Oklahoma,0400000US40,3094226,1213,1786742,5018,94856,2273,20999,995,1191629,5196,40,2021
38,Oregon,0400000US41,3434262,1459,2026107,6717,120586,2987,4121,586,1283448,6751,41,2021
39,Pennsylvania,0400000US42,10587037,2689,6295594,13911,367296,5204,8419,761,3915728,12376,42,2021
40,Rhode Island,0400000US44,906304,634,552707,3683,35428,1597,4331,487,313838,3560,44,2021
41,South Carolina,0400000US45,4097365,1952,2313378,8595,130624,3801,35688,1580,1617675,8298,45,2021
42,South Dakota,0400000US46,686625,721,448357,2227,14841,889,2982,326,220445,2024,46,2021
43,Tennessee,0400000US47,5504783,2072,3201140,9460,179568,4259,18573,1263,2105502,9385,47,2021
44,Texas,0400000US48,22261181,5258,13618630,22807,771586,9583,102600,2744,7768365,21123,48,2021
45,Utah,0400000US49,2391727,1423,1590143,5117,58170,1766,5505,615,737909,4933,49,2021
46,Vermont,0400000US50,537475,540,335239,2473,13668,727,912,213,187656,2321,50,2021
47,Virginia,0400000US51,6903607,2528,4219781,9555,202807,4129,130047,2310,2350972,9437,51,2021
48,Washington,0400000US53,6120915,1941,3701656,8862,198259,4228,58657,1958,2162343,7340,53,2021
49,West Virginia,0400000US54,1478714,1081,736088,3993,50277,1910,2068,457,690281,4097,54,2021
50,Wisconsin,0400000US55,4731836,1449,3014612,6500,109017,2685,3733,490,1604474,6129,55,2021
51,Wyoming,0400000US56,457128,608,284934,2179,12464,880,3435,444,156295,1907,56,2021
52,Puerto Rico,0400000US72,2797936,1321,1055843,7087,180168,4347,2868,525,1559057,6220,72,2021
1,Alabama,0400000US01,4046614,2035,2209666,9114,120030,3756,15390,1107,1701528,8824,01,2022
2,Alaska,0400000US02,573998,602,339162,2259,23035,1247,20881,1047,190920,1964,02,2022
3,Arizona,0400000US04,5764417,1806,3281189,9302,186058,4057,22783,1189,2274387,7877,04,2022
4,Arkansas,0400000US05,2402462,1327,1319483,6785,71601,2353,5991,683,1005387,6707,05,2022
5,California,0400000US06,31601862,5382,18729798,21331,1282055,10392,156809,3427,11433200,21423,06,2022
6,Colorado,0400000US08,4675060,1776,3021742,8144,143483,3239,40188,1288,1469647,7402,08,2022
7,Connecticut,0400000US09,2961491,1447,1832525,7444,115050,3412,7766,607,1006150,6640,09,2022
8,Delaware,0400000US10,811267,744,474455,3238,27315,1656,3958,611,305539,3080,10,2022
9,District of Columbia,0400000US11,556781,544,369398,2770,28264,1773,3268,411,155851,2294,11,2022
10,Florida,0400000US12,17893588,3463,10023737,21085,531896,7541,74060,2184,7263895,20007,12,2022
11,Georgia,0400000US13,8504181,2862,5069418,11884,280651,5177,56407,2115,3097705,11935,13,2022
12,Hawaii,0400000US15,1176872,819,675071,3972,35913,1548,49403,1302,416485,3685,15,2022
13,Idaho,0400000US16,1451461,1153,873463,3975,34154,1954,5260,556,538584,4521,16,2022
14,Illinois,0400000US17,10274014,2941,6280447,12866,397747,5456,19469,1230,3576351,11897,17,2022
15,Indiana,0400000US18,5390900,2033,3286714,9234,154602,3507,4889,601,1944695,7706,18,2022
16,Iowa,0400000US19,2544719,1266,1627434,5740,64695,2439,3097,510,849493,5142,19,2022
17,Kansas,0400000US20,2315454,1438,1452870,5298,60636,2087,20203,1108,781745,5125,20,2022
18,Kentucky,0400000US21,3607440,1902,2025396,8315,108558,2874,13584,675,1459902,7457,21,2022
19,Louisiana,0400000US22,3679895,1787,2019199,8910,142144,3621,18832,1151,1499720,8939,22,2022
20,Maine,0400000US23,1147922,702,683370,3625,28762,1476,2201,363,433589,3125,23,2022
21,Maryland,0400000US24,4957297,1877,3131413,9046,168965,3866,31580,1653,1625339,8474,24,2022
22,Massachusetts,0400000US25,5784787,1854,3671485,8747,206164,3901,5257,665,1901881,7924,25,2022
23,Michigan,0400000US26,8166427,2100,4711444,10996,302167,4616,4979,501,3147837,9694,26,2022
24,Minnesota,0400000US27,4537247,1417,2989152,6850,123497,2735,4104,550,1420494,7212,27,2022
25,Mississippi,0400000US28,2349512,1407,1245900,6599,85519,2547,12918,827,1005175,6673,28,2022
26,Missouri,0400000US29,4940395,2174,2954860,8554,132657,3115,19997,1378,1832881,8081,29,2022
27,Montana,0400000US30,887607,716,534107,2996,21635,1095,3687,262,328178,2985,30,2022
28,Nebraska,0400000US31,1532351,788,1015656,3673,32157,1309,6472,499,478066,3408,31,2022
29,Nevada,0400000US32,2494415,1377,1456370,5281,109909,3182,12245,1087,915891,5333,32,2022
30,New Hampshire,0400000US33,1156055,812,740988,3780,27426,1382,1939,450,385702,3740,33,2022
31,New Jersey,0400000US34,7473298,2486,4619369,10412,307824,4690,11888,937,2534217,10285,34,2022
32,New Mexico,0400000US35,1696331,1189,902828,5232,59989,2546,13880,835,719634,5183,35,2022
33,New York,0400000US36,16340862,3281,9615537,20034,638401,7210,25645,1353,6061279,17067,36,2022
34,North Carolina,0400000US37,8454147,3351,4925500,12256,263374,4332,102000,2355,3163273,10812,37,2022
35,North Dakota,0400000US38,612919,603,404772,1980,12191,983,6649,522,189307,2074,38,2022
36,Ohio,0400000US39,9486925,2499,5686919,11704,300192,5748,11538,911,3488276,10691,39,2022
37,Oklahoma,0400000US40,3127702,1087,1800158,5293,92216,2031,22724,1071,1212604,5429,40,2022
38,Oregon,0400000US41,3472552,1377,2045480,7150,119746,3386,4051,678,1303275,7404,41,2022
39,Pennsylvania,0400000US42,10638892,2359,6322011,14189,358729,5326,8914,741,3949238,12629,42,2022
40,Rhode Island,0400000US44,912516,804,554054,3670,34616,1763,3936,502,319910,3617,44,2022
41,South Carolina,0400000US45,4166614,1754,2351749,9468,128211,3643,37666,1882,1648988,8608,45,2022
42,South Dakota,0400000US46,697630,669,453504,2386,14552,1010,3641,417,225933,2277,46,2022
43,Tennessee,0400000US47,5576402,2460,3258016,10739,172829,4386,19320,1234,2126237,10686,47,2022
44,Texas,0400000US48,22698396,5281,13908128,21760,766007,8777,110177,2865,7914084,19275,48,2022
45,Utah,0400000US49,2454789,1227,1639398,5796,56860,1686,6141,609,752390,5687,49,2022
46,Vermont,0400000US50,541949,501,337211,2316,13466,961,1106,246,190166,2185,50,2022
47,Virginia,0400000US51,6962091,2329,4245585,10506,197001,3870,128257,2618,2391248,9756,51,2022
48,Washington,0400000US53,6209213,1750,3752076,8699,197009,3793,61714,2234,2198414,7348,53,2022
49,West Virginia,0400000US54,1476838,855,736212,4534,47503,1883,2397,446,690726,4562,54,2022
50,Wisconsin,0400000US55,4764779,1536,3020890,6984,105086,2540,3630,423,1635173,6425,55,2022
51,Wyoming,0400000US56,460637,640,287895,1956,11456,836,3487,448,157799,1843,56,2022
52,Puerto Rico,0400000US72,2785909,1382,1081330,7087,165697,3359,3189,591,1535693,6605,72,2022
1,Alabama,0400000US01,4056609,1996,2229912,8902,112849,2930,15906,971,1697942,8808,01,2023
2,Alaska,0400000US02,574021,784,338252,3325,20644,1185,22039,2056,193086,2357,02,2023
3,Arizona,0400000US04,5862117,1956,3340327,8912,182184,3519,24803,1190,2314803,8617,04,2023
4,Arkansas,0400000US05,2409758,1518,1327740,7061,71269,2406,6600,760,1004149,6691,05,2023
5,California,0400000US06,31545603,5182,18700223,23770,1282259,10353,161596,3378,11401525,21368,06,2023
6,Colorado,0400000US08,4717446,1922,3051664,7950,143373,3522,42683,1529,1479726,6916,08,2023
7,Connecticut,0400000US09,2955944,1423,1835455,7251,109838,3770,8409,717,1002242,6223,09,2023
8,Delaware,0400000US10,820630,764,481728,2923,25640,1358,3953,676,309309,2802,10,2023
9,District of Columbia,0400000US11,556577,524,371410,2793,25748,1482,3463,439,155956,2764,11,2023
10,Florida,0400000US12,18129301,3743,10209399,18982,516132,7391,78025,2901,7325745,18952,12,2023
11,Georgia,0400000US13,8582918,3305,5130869,15337,276950,5589,59494,2036,3115605,15171,13,2023
12,Hawaii,0400000US15,1175666,786,668094,4087,35378,1592,49289,1279,422905,3712,15,2023
13,Idaho,0400000US16,1484640,1151,896360,4239,34229,1912,5172,518,548879,4280,16,2023
14,Illinois,0400000US17,10223628,2571,6253243,12917,384790,5723,20841,1307,3564754,12283,17,2023
15,Indiana,0400000US18,5403282,1958,3302869,9401,148579,3770,5440,754,1946394,8290,18,2023
16,Iowa,0400000US19,2547553,1343,1629641,5512,61411,2502,3139,471,853362,4752,19,2023
17,Kansas,0400000US20,2315234,1143,1454760,5438,59154,2026,20675,1066,780645,4708,20,2023
18,Kentucky,0400000US21,3605426,1756,2032890,7778,103267,2430,14435,711,1454834,6852,21,2023
19,Louisiana,0400000US22,3655132,2000,2013227,9470,135734,4238,19915,1058,1486256,8793,22,2023
20,Maine,0400000US23,1157198,689,688248,3558,28048,1392,2109,341,438793,3462,23,2023
21,Maryland,0400000US24,4954123,1937,3133266,8165,162773,3830,32478,1513,1625606,7861,24,2023
22,Massachusetts,0400000US25,5791845,2203,3687020,8101,199882,4224,5781,601,1899162,7411,25,2023
23,Michigan,0400000US26,8155338,2164,4712135,10989,290715,4793,5414,566,3147074,9635,26,2023
24,Minnesota,0400000US27,4549661,1817,2989357,6398,122323,2886,4070,617,1433911,5907,27,2023
25,Mississippi,0400000US28,2342850,1607,1247172,7134,79706,2451,13452,1001,1002520,6913,28,2023
26,Missouri,0400000US29,4945676,2109,2974499,8118,127719,3107,19503,1306,1823955,7322,29,2023
27,Montana,0400000US30,897820,742,539136,3266,21045,1273,3883,350,333756,2813,30,2023
28,Nebraska,0400000US31,1536522,940,1018867,3558,31428,1556,6503,523,479724,3036,31,2023
29,Nevada,0400000US32,2528760,1530,1474290,5738,107736,3141,13013,1002,933721,5520,32,2023
30,New Hampshire,0400000US33,1164149,751,745100,3205,25914,1251,1919,407,391216,2922,33,2023
31,New Jersey,0400000US34,7477249,2400,4644770,11248,304881,6104,11377,1014,2516221,10293,34,2023
32,New Mexico,0400000US35,1705686,1314,912332,5093,58121,1908,14637,866,720596,5233,35,2023
33,New York,0400000US36,16235440,3282,9568411,18158,632127,7104,25922,1245,6008980,16281,36,2023
34,North Carolina,0400000US37,8533822,2708,4990710,12673,253256,5037,108012,2547,3181844,11386,37,2023
35,North Dakota,0400000US38,613763,659,404575,2509,11847,892,7306,619,190035,2270,38,2023
36,Ohio,0400000US39,9477782,2992,5694732,11421,290011,5843,12184,925,3480855,10984,39,2023
37,Oklahoma,0400000US40,3142477,1312,1808400,5422,93199,2553,23486,1019,1217392,5663,40,2023
38,Oregon,0400000US41,3483666,1510,2051335,6599,116411,3525,4301,704,1311619,6660,41,2023
39,Pennsylvania,0400000US42,10628282,2835,6315752,13517,349819,5676,9390,907,3953321,12067,42,2023
40,Rhode Island,0400000US44,912681,937,555915,4422,33634,1943,4049,454,319083,3995,44,2023
41,South Carolina,0400000US45,4216865,1589,2388777,9859,124521,3402,39412,2084,1664155,8750,45,2023
42,South Dakota,0400000US46,704344,743,457450,2581,14163,775,3774,410,228957,2342,46,2023
43,Tennessee,0400000US47,5612667,2021,3301152,9616,164163,4072,19903,1233,2127449,8934,47,2023
44,Texas,0400000US48,23026070,5768,14140748,24489,765912,8726,118359,3117,8001051,22227,48,2023
45,Utah,0400000US49,2498070,1440,1673539,5687,59150,1964,6976,817,758405,5425,49,2023
46,Vermont,0400000US50,543008,511,337258,2579,12815,766,1095,286,191840,2392,50,2023
47,Virginia,0400000US51,6980834,2587,4258744,10029,191415,4187,130751,2674,2399924,8719,51,2023
48,Washington,0400000US53,6252501,1853,3781332,8903,198360,3782,63401,1807,2209408,8007,53,2023
49,West Virginia,0400000US54,1469375,1067,740597,4447,45018,1844,2530,415,681230,4336,54,2023
50,Wisconsin,0400000US55,4771274,1573,3018918,7836,102659,2787,3480,403,1646217,6813,55,2023
51,Wyoming,0400000US56,462236,575,285935,2315,11118,786,3427,457,161756,2082,56,2023
52,Puerto Rico,0400000US72,2787925,1409,1113397,5787,153090,3400,3360,553,1518078,5813,72,2023
1,Alabama,0400000US01,4087228,1939,2256522,8166,111265,3023,16158,1040,1703283,7301,01,2024
2,Alaska,0400000US02,577431,756,338408,2728,21037,1095,23643,1206,194343,2521,02,2024
3,Arizona,0400000US04,5975507,2526,3415601,9352,183239,4131,24597,1271,2352070,8579,04,2024
4,Arkansas,0400000US05,2429301,1271,1341614,5966,69655,2251,6474,647,1011558,5668,05,2024
5,California,0400000US06,31699656,4798,18742898,23401,1325568,10867,159833,3745,11471357,19774,06,2024
6,Colorado,0400000US08,4779932,2016,3085757,7631,149719,3257,43940,1624,1500516,6758,08,2024
7,Connecticut,0400000US09,2985163,1292,1849864,7074,109626,3835,8336,614,1017337,6613,09,2024
8,Delaware,0400000US10,835110,758,487985,2842,26301,1725,3971,673,316853,2987,10,2024
9,District of Columbia,0400000US11,564439,533,374990,3015,25416,1654,3796,495,160237,3170,11,2024
10,Florida,0400000US12,18564316,3350,10484998,21926,531580,8865,77377,2460,7470361,20151,12,2024
11,Georgia,0400000US13,8708339,2706,5213857,14154,282204,5251,58682,2191,3153596,12883,13,2024
12,Hawaii,0400000US15,1178236,713,667178,2924,34516,1439,49068,1263,427474,3057,15,2024
13,Idaho,0400000US16,1524285,1196,919255,4524,35649,1762,5267,579,564114,4016,16,2024
14,Illinois,0400000US17,10264353,2949,6263764,12614,388370,6021,21886,1205,3590333,11609,17,2024
15,Indiana,0400000US18,5446735,2100,3323528,9746,148488,3866,5035,584,1969684,9289,18,2024
16,Iowa,0400000US19,2564248,1259,1639141,5370,60853,2356,3353,547,860901,4578,19,2024
17,Kansas,0400000US20,2329510,1352,1460125,6124,59250,2176,20995,1065,789140,5520,20,2024
18,Kentucky,0400000US21,3628656,1562,2047296,8118,104742,2993,14127,639,1462491,7269,21,2024
19,Louisiana,0400000US22,3652089,1902,2013003,8340,135161,3705,18471,1234,1485454,8175,22,2024
20,Maine,0400000US23,1169084,743,692551,3986,27132,1470,2139,314,447262,3689,23,2024
21,Maryland,0400000US24,4991002,1812,3151451,8735,162200,3720,37445,1815,1639906,6883,24,2024
22,Massachusetts,0400000US25,5848392,2037,3709853,8416,201593,4058,5906,767,1931040,8555,25,2024
23,Michigan,0400000US26,8197132,2512,4732153,11976,286296,5011,5554,628,3173129,11124,26,2024
24,Minnesota,0400000US27,4583739,1596,2992254,7383,126788,2918,4015,600,1460682,6948,27,2024
25,Mississippi,0400000US28,2342991,1576,1255444,6629,76677,2700,13284,854,997586,6145,28,2024
26,Missouri,0400000US29,4975226,1982,2995281,8513,125358,3242,20108,1435,1834479,7526,29,2024
27,Montana,0400000US30,910623,736,547966,2977,20602,1047,3845,384,338210,2976,30,2024
28,Nebraska,0400000US31,1550380,1116,1024674,4152,32072,1319,6457,589,487177,3598,31,2024
29,Nevada,0400000US32,2574614,1533,1499718,6562,112440,3015,13949,876,948507,6079,32,2024
30,New Hampshire,0400000US33,1173489,865,749856,3947,25970,1453,1721,366,395942,3701,33,2024
31,New Jersey,0400000US34,7551127,2719,4687305,10522,315874,4760,11368,1088,2536580,9074,34,2024
32,New Mexico,0400000US35,1716461,1391,917730,5905,58172,2480,15462,846,725097,5814,35,2024
33,New York,0400000US36,16259040,3540,9523591,18192,648175,6671,23589,1006,6063685,17424,36,2024
34,North Carolina,0400000US37,8672106,2726,5084958,13053,251905,4747,106744,2127,3228499,12672,37,2024
35,North Dakota,0400000US38,620111,704,406256,2612,11552,861,7575,723,194728,2475,38,2024
36,Ohio,0400000US39,9521105,2551,5709399,12728,285380,5523,13222,987,3513104,11277,39,2024
37,Oklahoma,0400000US40,3175891,1251,1825720,5400,95693,2485,22729,966,1231749,4981,40,2024
38,Oregon,0400000US41,3510012,1601,2066462,7109,117000,3273,3892,619,1322658,6803,41,2024
39,Pennsylvania,0400000US42,10676396,2659,6332886,15503,351289,5595,8743,738,3983478,13468,42,2024
40,Rhode Island,0400000US44,920328,805,559823,3798,34430,1954,4308,498,321767,3893,44,2024
41,South Carolina,0400000US45,4296899,1880,2435236,9298,125193,3146,38968,2089,1697502,9187,45,2024
42,South Dakota,0400000US46,712981,853,461290,2520,13933,1027,4102,475,233656,2437,46,2024
43,Tennessee,0400000US47,5686961,2435,3362616,9996,164955,4178,19341,1324,2140049,9515,47,2024
44,Texas,0400000US48,23528174,5874,14431125,22925,802438,10072,121089,2714,8173522,20217,48,2024
45,Utah,0400000US49,2563725,1452,1714800,5795,63306,2254,6885,751,778734,4993,49,2024
46,Vermont,0400000US50,546316,555,339613,2531,12519,800,955,251,193229,2461,50,2024
47,Virginia,0400000US51,7037245,2367,4277711,10127,190525,4836,130618,3072,2438391,9525,51,2024
48,Washington,0400000US53,6336814,2053,3819646,10278,204777,3755,64212,2290,2248179,8268,53,2024
49,West Virginia,0400000US54,1467075,912,744248,5062,42641,1755,2884,513,677302,4931,54,2024
50,Wisconsin,0400000US55,4805425,1414,3031042,7688,101728,2785,3830,435,1668825,7212,55,2024
51,Wyoming,0400000US56,466238,726,288713,2364,11113,877,3817,486,162595,2251,56,2024
52,Puerto Rico,0400000US72,2788407,1213,1150831,6702,138463,3100,3637,630,1495476,6451,72,2024
