,NAME,GEO_ID,est_households,est_households_me,under_10k,under_10k_me,bw_10_15k,bw_10_15k_me,bw_15_25k,bw_15_25k_me,bw_25_35k,bw_25_35k_me,bw_35_50k,bw_35_50k_me,bw_50_75k,bw_50_75k_me,bw_75_100k,bw_75_100k_me,bw_100_150k,bw_100_150k_me,bw_150_200k,bw_150_200k_me,over_200k,over_200k_me,median_hh_income,median_hh_income_me,mean_hh_income,mean_hh_income_me,state,year
20,Maine,0400000US23,551125,2028,39795,1162,35250,1104,67999,1598,63507,1410,85086,1800,111303,1858,67851,1447,52999,1244,15520,635,11815,634,46933,457,60036,502,23,2010
21,Maryland,0400000US24,2121047,4993,105359,2206,70756,1906,145954,2625,164080,2876,249521,3123,386304,3625,299813,3581,375928,3999,167757,2449,155575,2361,70647,262,91454,323,24,2010
22,Massachusetts,0400000US25,2512552,5217,171690,2598,128839,2680,212765,2749,198325,2790,283914,3492,428839,4372,338488,3468,412161,4043,170308,2959,167223,2566,64509,344,85897,398,25,2010
23,Michigan,0400000US26,3843997,10905,304785,3547,219924,2767,442676,3974,430558,3993,577569,4100,728579,4449,466664,4268,433144,4588,134211,2234,105887,1981,48432,168,63692,210,26,2010
24,Minnesota,0400000US27,2085917,5466,119223,2087,99885,1721,195722,2605,200204,2434,291875,2506,419619,2901,298118,2429,285427,2636,93216,1752,82628,1571,57243,187,73561,320,27,2010
25,Mississippi,0400000US28,1081052,3748,125777,2629,91335,2227,157733,2661,130682,2343,156638,2610,183156,2889,106319,2267,86153,1956,23375,943,19884,841,37881,333,52484,382,28,2010
26,Missouri,0400000US29,2349955,6352,186227,2753,144648,2379,284469,3589,278895,3499,362077,3106,452262,4068,274407,3364,239068,3126,69363,1520,58539,1378,46262,177,61238,242,29,2010
27,Montana,0400000US30,401328,1784,30672,1130,26642,931,53443,1427,49728,1214,64680,1444,77753,1451,45941,1283,35550,1095,9390,538,7529,536,43872,408,56886,489,30,2010
28,Nebraska,0400000US31,711771,2613,45321,1291,41617,1202,81800,1579,83307,1491,108311,1515,146702,2060,90871,1825,76556,1622,19998,887,17288,729,49342,293,62707,371,31,2010
29,Nevada,0400000US32,979621,4292,55595,1592,38868,1433,93880,2318,103404,2260,142975,2764,204802,3269,135345,2458,129777,2560,41141,1324,33834,1135,55726,395,72112,477,32,2010
